id,level,title,description,link
1,N5,だ,"To be, Is",https://bunpro.jp/grammar_points/%E3%81%A0
2,N5,です,"To be, Is",https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%99
3,N5,は,As for... (Highlights sentence topic),https://bunpro.jp/grammar_points/%E3%81%AF
4,N5,も,"Also, Too, As well, Even, Either, Neither",https://bunpro.jp/grammar_points/%E3%82%82
5,N5,これ,This,https://bunpro.jp/grammar_points/%E3%81%93%E3%82%8C
6,N5,それ,That,https://bunpro.jp/grammar_points/%E3%81%9D%E3%82%8C
7,N5,あれ,That (over there),https://bunpro.jp/grammar_points/%E3%81%82%E3%82%8C
8,N5,の,Indicates possession,https://bunpro.jp/grammar_points/%E3%81%AE
9,N5,いい,い-Adjective meaning 'good',https://bunpro.jp/grammar_points/%E3%81%84%E3%81%84
10,N5,い-Adjectives,Adjectives ending in い,https://bunpro.jp/grammar_points/%E3%81%84-adjectives
11,N5,な-Adjectives,Adjectives that are also nouns,https://bunpro.jp/grammar_points/%E3%81%AA-adjectives
12,N5,か,Question marking particle,https://bunpro.jp/grammar_points/%E3%81%8B
13,N5,が,"Subject marking particle, Identification particle",https://bunpro.jp/grammar_points/%E3%81%8C
14,N5,よ,Emphasis (Sentence ending particle),https://bunpro.jp/grammar_points/%E3%82%88
15,N5,ね,"Isn't it?, Right? (Sentence ending particle) ",https://bunpro.jp/grammar_points/%E3%81%AD
16,N5,る-Verb (Dictionary),る + ます (Ichidan Verbs),https://bunpro.jp/grammar_points/%E3%82%8B-Verbs
17,N5,う-Verb (Dictionary),う + ます (Godan Verbs),https://bunpro.jp/grammar_points/%E3%81%86-Verbs
18,N5,を,Object marking particle,https://bunpro.jp/grammar_points/%E3%82%92
19,N5,る-Verb (Negative),Will/Does/Do (not),https://bunpro.jp/grammar_points/%E3%82%8Bverb-%E3%81%AA%E3%81%84
20,N5,う-Verb (Negative),Will/Does/Do (not),https://bunpro.jp/grammar_points/%E3%81%86verb--%E3%81%AA%E3%81%84
21,N5,と,And,https://bunpro.jp/grammar_points/%E3%81%A8-and
22,N5,ここ,"Here, This place",https://bunpro.jp/grammar_points/%E3%81%93%E3%81%93
23,N5,そこ,"There, That place",https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%93
24,N5,あそこ,Over there,https://bunpro.jp/grammar_points/%E3%81%82%E3%81%9D%E3%81%93
25,N5,で,"At, In",https://bunpro.jp/grammar_points/%E3%81%A7
26,N5,に,"In, At, To, For, On",https://bunpro.jp/grammar_points/%E3%81%AB
27,N5,か,Or,https://bunpro.jp/grammar_points/%E3%81%8B-or
28,N5,と,With,https://bunpro.jp/grammar_points/%E3%81%A8-with
29,N5,でしょう,"Right?, Probably, Isn't it?",https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%97%E3%82%87%E3%81%86
30,N5,だろう,"Right?, Probably, Isn't it?",https://bunpro.jp/grammar_points/%E3%81%A0%E3%82%8D%E3%81%86
