grammarPointName,sentence1,sentence2,sentence1English,sentence2English,englishGrammarPointMeaning
1. ～みたい,お姫様みたいです！,店は閉まっているみたいです。,You look like a princess!,Looks like the shop is closed.,looks like ~
2. ～そう,嬉しそうです。,葉っぱが木から落ちそうです。,They look happy.,The leaf looks like it'll fall from the tree.,looks like ~
3. ～だそう,たけしさんは明日休むつもりだそうです。,田中さんは仕事をやめるそうです。,Apparently Takeshi won't be here tomorrow.,I heard Mr. Tanaka is quitting.,I heard ~ / Apparently ~
4. ～よう,今日の天気は夏のようです。,上田くんが遅れているようです。,It feels like summer today.,It seems that Ueda is running late.,seems like ~
5. ～はず,今週の月曜日は休みのはずです。,,This Monday is supposed to be a day off.,,should be ~ / supposed to be ~
6. ～かもしれない,渋滞でアインさんが遅れるかもしれないです。,,Ahn will probably be late because of traffic.,,probably ~ / might ~
7. あげる,花を彼女にあげる。,,I will give flowers to my girlfriend.,,give (I give to someone)
8. くれる,彼氏が私に花をくれた。,,My boyfriend gave me flowers.,,give (someone gives to me)
9. もらう,（私は）彼氏に花をもらった。,,I received flowers from my boyfriend.,,receive
10. ～てあげる,妻に料理してあげる。,,I'll cook for my wife.,,do for (someone)
11. ～てくれる,妻が料理してくれる。,,My wife cooks for me.,,do for (me)
12. ～てくれてありがとう,料理してくれてありがとう。,,Thank you for cooking for me.,,thank you for doing for (me)
13. ～てもらう,母に料理してもらった。,,I got my mom to cook for me.,,ask to do for (me) / get someone to do for (me)
14. ～て (cause),かぜをひいて休みます。,,I'm staying home because I caught a cold.,,because ~ (natural consequence)
15. ～ても,試験に落ちてもあきらめません。,,"Even if I fail the exam, I won't give up.",,even if ~
16. ～なくてもいい,靴をぬがなくてもいいです。,,There's no need to take off your shoes.,,there's no need to ~
17. ～ないでください,写真を撮らないでください。,,Please don't take pictures.,,please don't ~
18. ～てみる,すしを食べてみる？,,Want to try some sushi?,,try ~ (and see how it goes)
19. ～てすみません,遅れてすみませんでした。,,Sorry for being late.,,sorry for ~
20. ～てよかった,あなたに出会えてよかった。,,I'm glad I got to meet you.,,I'm glad that ~
21. ～てしまう,ケーキを全部一人で食べてしまいました。,,"Unfortunately, I ate the whole cake by myself.",,regrettably ~ / completely ~
22. ～ておく,クッキーを作るから、オーブンをつけておく。,,"I'm going to make cookies, so I'll turn the oven on in advance.",,do ~ in advance
23. ～てある,机の上に本がおいてあります。,,A book has been placed on the desk.,,~ has been done (and stays that way)
24. transitive & intransitive,ボールを落とした。,ボールが落ちた。,I dropped the ball.,The ball fell.,Transitive vs Intransitive verbs
25. transitive & intransitive ている,窓を開けている。,窓が開いている。,I'm opening the window.,The window is open.,Action in progress vs State of being
