"grammarPointName","sentence1","sentence2","sentence1English","sentence2English","englishGrammarPointMeaning","sentence3","sentence4","sentence3English","sentence4English"
"1. あまり～ない","鶏肉はあまり好きじゃない。","あまり眠くないです。","I don't like chicken very much.","I don't feel very sleepy.","Not very, Not much","","","",""
"2. ～あとで","仕事が終わったあとで、ジムに行く。","宿題のあとで、遊びました。","I go to the gym after finishing work.","I played after my homework.","After, Later","","","",""
"3. ば","あなたが行けば、私も行きます。","毎日練習をすれば、上手になりますよ。","If you go, I'll go too.","If you practice everyday, you'll get better.","If ..., then","ペンがなければ貸すよ。","","I'll lend you a pen if you don't have one.",""
"4. ばあいは","雨が降らない場合は泳ぎます。","この場合は君が悪い。","If it doesn't rain, I will swim.","You're wrong in this case.","If, In the case..., In the event of","","","",""
"5. だけで","二人だけで少し話がしたい。","彼女のことを思うだけでドキドキする。","I want to talk to you alone.","Just by thinking of her, my heart goes fast.","Just by (doing)","","","",""
"6. だす","雨が降りだした。","彼は突然走り出した。","It began to rain.","He suddenly began to run.","To suddenly begin, To suddenly appear","","","",""
"7. でも","暇だから、ゲームでもしましょう。","コーヒーでも飲みます。","Let's play games or something.","I will drink coffee or something.","... or something","","","",""
"8. がる","この猫は誰も欲しがる人がいなかった。","怖がらないでください。","No one wanted this cat.","Please don't be afraid.","To feel, To think, To show signs of ...","","","",""
"9. はじめる","日本語を勉強し始めて、もう四年経った。","彼はゆっくり食事を食べ始めた。","It has been four years since I started studying Japanese.","He slowly started eating his food.","To start ..., To begin to ...","","","",""
"10. はずがない","その船は沈むはずがない。","彼は今、ここにいるはずがない。","That ship cannot sink.","He can't be here right now.","Can't be, It's impossible that","","","",""
"11. ひつよう","食べ物が必要です。","仕事に行く前に、体温を測ることが必要です。","Food is necessary.","Before going to work, I need to check my temperature.","Need, Necessary","","","",""
"12. ひつようがある","食べる必要がある。","なんでそんなことをする必要があるんですか。","It's necessary to eat.","Why would you need to do something like that?","It is necessary to ..., Need","","","",""
"13. ほしい","美味しい晩ごはんが欲しい。","私はあなたにこの仕事をしてほしい。","I want a delicious dinner.","I want you to do this work.","To want ..., To be in need of ...","","","",""
"14. じゃないか","このゲームは難しいんじゃないか。","これは間違っているんじゃないか。","This game is hard isn't it?","This is wrong isn't it?","Right?; Isn't it?","","","",""
"15. かどうか","彼が驚くかどうかわかりません。","行くかどうか後で電話で知らせます。","I don't know if he'll be surprised or not.","I'll let you know later by phone if I'm going or not.","Whether or not","","","",""
