grammarPointName	rule	level
1. は		
2. present / future tense		
3. past tense		
4. short form		
5. ～たり、～たりする		
6. か		
7. で		
8. を		
9. に	～に～	Ｎ０
10. へ		
11. と	～と	Ｎ４、Ｎ５
12. が		
13. でも	～てもいい／でもいい	Ｎ４、Ｎ５
14. それでも		
15. の		
16. も		
17. や		
18. だけ	～だけ	Ｎ４、Ｎ５
19. ごろ		
20. くらい・ぐらい	～くらい／ぐらい	Ｎ４、Ｎ５
21. ～から (because)	～から	Ｎ４、Ｎ５
22. から (from)	～から	Ｎ４、Ｎ５
23. それから	～から	Ｎ４、Ｎ５
24. ～まで	～までに	Ｎ４、Ｎ５
25. あまり～ない		
26. ぜんぜん～ない		
27. counters		
28. これ・それ・あれ・どれ	それでこそ～だ	Ｎ０
29. この・その・あの		
30. ここ・そこ・あそこ・どこ	～ど／～ども	Ｎ０
31. ～がある・～がいる	～節がある	Ｎ０
32. ～にある・～にいる	～に～	Ｎ０
33. describing position		
34. こと・の	～こと～	Ｎ０
35. adj expressions		
36. 好き・嫌い		
37. 上手・下手		
38. adverbs		
39. ～と～と、どちらが～	～と	Ｎ４、Ｎ５
40. ほうが adj		
41. ～より		
42. ～の中で ～が一番		
43. ～と思う	～うと思う	Ｎ４、Ｎ５
44. ～という noun	～と	Ｎ４、Ｎ５
45. ～と言う	～と	Ｎ４、Ｎ５
46. ～でしょう		
47. ～ことがある	～こと～	Ｎ０
48. ～ことはない	～こと～	Ｎ０
49. ～になる	～になる／くなる	Ｎ４、Ｎ５
50. ～つもり	～つもりだ／ないつもりだ／～つもりはない	Ｎ４、Ｎ５
51. ～すぎる		
52. ～ほしい		
53. ～たい	～したい／したくない／したがる／したがっている	Ｎ４、Ｎ５
54. ～に行く・～に来る	～に～	Ｎ０
55. ～ませんか	～ませんか	Ｎ４、Ｎ５
56. ～ましょう	～ましょう／ましょうか	Ｎ４、Ｎ５
57. ～ましょうか	～ましょう／ましょうか	Ｎ４、Ｎ５
58. ～をください		
59. verbて		
60. noun / adj て		
61. ～てください	～てください／てちょうだい／ないで下さい／ないでちょうだい／てくれ	Ｎ４、Ｎ５
62. ～ないでください	～ないで／ずに	Ｎ４、Ｎ５
63. ～てもいい	～てもいい／でもいい	Ｎ４、Ｎ５
64. ～てはいけない	～てはいけない／てはだめだ／てはならない	Ｎ４、Ｎ５
65. ～ている	～ている／ておる	Ｎ４、Ｎ５
66. まだ～ていない		
67. もう～た		
68. ～ていく・～てくる	～ていく	Ｎ４、Ｎ５
69. ～じゃないですか	～ないで／ずに	Ｎ４、Ｎ５
70. ～なければいけない		
71. ～ではなくて		
72. する verb usage		
73. あげる	～あげる／やる／差し上げる	Ｎ４、Ｎ５
74. くれる	～くれる／くださる	Ｎ４、Ｎ５
75. もらう	～もらう／頂く	Ｎ４、Ｎ５
76. modifying nouns		
77. ～方	～方(かた）	Ｎ４、Ｎ５
78. question word も		
79. 前	～前に／前で	Ｎ４、Ｎ５
80. 後	～後に／後で	Ｎ４、Ｎ５	
