grammarPointName,sentence1,sentence2,sentence3,sentence1English,sentence2English,sentence3English,englishGrammarPointMeaning
"1. は","ゆかさんは 先生です。","夏は 暑いですが、冬は 寒いです。",,"Yuka is a teacher.","The summer is hot, but the winter is cold.",,"~ is ~ (topic marker) / but ~ (contrast marker)"
"2. present / future tense","今から 休憩が 始まります。","先生が 来ないから 授業は 休みです。",,"Our break starts now.","The teacher isn't coming, so class is canceled.",,"is ~ / is not ~ / will ~ / will not ~"
"3. past tense","昨日 4時に 帰りました。","去年の 冬は 寒くなかったです。",,"I went home at four yesterday.","Last year's winter wasn't cold.",,"was ~ / was not ~ / did ~ / did not ~"
"4. short form","猫は かわいい。","パンを 食べた。",,"Cats are cute.","I ate bread.",,"(dictionary form) casual speech"
"5. ～たり、～たりする","今日 勉強したり、買い物を したり しました。",,,"Today I studied and went shopping and such.",,,"do things like ~ and ~"
"6. か","誕生日 は いつですか。","今日か 明日 行きましょう。",,"When is your birthday?","Let's go today or tomorrow.",,"? / or (question particle)"
"7. で","図書館で 勉強します。","自転車で 行きます。",,"I study at the library.","I'll go by bike.",,"by / at (means / location particle)"
"8. を","ボールを 落とした。","橋を 渡る。",,"I dropped the ball.","I'll cross the bridge.",,"(object / through movement particle)"
"9. に","7時に 起きます。","アメリカに 行く。","日本に 住んで います。","I wake up at seven.","I'm going to the US.","I live in Japan.","at / in / to (time / location / movement / interaction particle)"
"10. へ","新宿へ 行きます。",,,"I'm going to Shinjuku.",,,"to (movement particle)"
"11. と","猫と 犬が 好きだ。","ゆか 先生と 話します。",,"I like cats and dogs.","I speak with Yuka-sensei.",,"and / with (listing / interaction particle)"
"12. が","誰が 関西 出身ですか。","ゆか先生が 関西 出身です。","きびしいが、いい 人です。","Who's from the Kansai region?","Yuka-sensei's from Kansai.","They might be strict, but they're a good person.","is / but (subject / contrasting particle)"
"13. でも","仕事は 忙しいです。","でも、楽しいです。",,"Work is busy.","But it's fun.",,"but (contrasting particle)"
"14. それでも","兄弟と よく けんかします。","それでも 大好きです。",,"My siblings and I often argue.","But I love them even still.",,"even still (even though that's the case)"
"15. の","これは 私の ペンだ。","これは 日本の 車です。","英語の 本です。","This is my pen.","This car is from Japan.","It's an English book.","'s / from / kind of (possessive / origin / descriptive particle)"
"16. も","私も 学生です。","オーストラリアにも 行った。",,"I am also a student.","I also went to Australia.",,"also (additive particle)"
"17. や","牛乳や 卵を 買いました。",,,"I bought milk and eggs (and some other stuff).",,,"and (non-exhaustive list particle)"
"18. だけ","ここ の パソコンは 学生だけが 使えます。","病気じゃ ないです。疲れただけです。",,"Only students can use these computers.","I'm not sick, I'm just tired.",,"only / just (exclusivity particle)"
"19. ごろ","1時ごろ 会議が あります。",,,"There's a meeting at around one o'clock.",,,"around (time estimate particle)"
"20. くらい・ぐらい","何人ぐらい 来ますか。",,,"Around how many people are coming?",,,"around (quantity estimate particle)"
"21. ～から (because)","パンを 食べました。お腹が 空いたからです。","お腹が 空いたから、パンを 食べました。",,"I ate bread because I was hungry.","I ate bread because I was hungry.",,"because ~"
"22. から (from)","アメリカから 来ました。","母から 手紙を もらった。",,"I came from the US.","I got a letter from my mom.",,"from"
"23. それから","朝 9時に 起きました。","それから 歯を みがきました。",,"I got up at nine.","Then I brushed my teeth.",,"then / after that"
"24. ～まで","授業は 4時までです。","新宿から 成田空港まで 2時間 かかります。",,"Class goes until four.","It takes two hours to get from Shinjuku to Narita Airport.",,"until ~ / to ~ (location)"
"25. あまり～ない","日本に 好きな 食べ物が あまり ない。","あまり 運動しない。",,"There aren't many foods I like in Japan.","I don't exercise much.",,"not much"
"26. ぜんぜん～ない","魚は ぜんぜん 好きじゃ ない。",,,"I don't like fish at all.",,,"not at all"
"27. counters","本を 3冊 買います。",,,"I'm going to buy three books.",,,"~ things (counting objects)"
"28. これ・それ・あれ・どれ","これ は ペンです。","それ は 本です。","あれ は 何ですか。","This is a pen.","That's a book.","What is that thing over there?","this / that / that over there / which"
"29. この・その・あの","この ペンは 青い。","その 帽子は かわいい。","あの 車は 大きいです。","This pen is blue.","That hat is cute.","That car is big.","this noun / that noun / that noun over there"
"30. ここ・そこ・あそこ・どこ","ここ に 来て ください。","そこ で 何を している？","あそこ は 立入禁止です。","Please come here.","What are you doing there?","We're not allowed to go over there.","here / there / over there / where"
"31. ～がある・～がいる","たくさん 本が あります。","スマホが ない。","猫が いる。","There are many books.","I don't have a phone.","There is a cat.","~ exists / I have ~"
"32. ～にある・～にいる","新宿は 東京に ある。","家族は 日本に いません。",,"Shinjuku is in Tokyo.","My family is not in Japan.",,"~ exists in / at (a certain location)"
"33. describing position","家は 郵便局の 右に あります。","彼女は 隣の ビルの 前で 待って いる。",,"My house is to the right of the post office.","She is waiting in front of the building next door.",,"~ is next to / in front of / behind / etc."
"34. こと・の","映画を 見る ことが 好きです。","泳ぐ のが 難しい。",,"I like watching movies.","Swimming is difficult.",,"the act of doing ~ (turning verbs into nouns)"
"35. adj expressions","彼は 背が 高いです。","アインさんは 頭が いい。",,"My boyfriend is tall.","Ahn is smart.",,"~ is (adjective) (idiomatic phrases)"
"36. 好き・嫌い","歌う のが 好きです。","魚が 好きじゃ ない。","彼は 勉強が 嫌いだ。","I like singing.","I don't like fish.","He dislikes studying.","I like ~ / I dislike ~"
"37. 上手・下手","上田くんは 卓球が 上手だ。","私は 料理が 下手です。",,"Ueda is skilled at table tennis.","I'm bad at cooking.",,"skilled at ~ / bad at ~"
"38. adverbs","廊下を 静かに 歩いた。","早く 帰ります。",,"I walked quietly through the hallway.","I'm going home early.",,"describing actions"
"39. ～と～と、どちらが～","お茶と 水と、どちらが いいですか。",,,"Would you prefer tea or water?",,,"between ~ and ~, which is ~ ?"
"40. ほうが adj","日本と アメリカと、どちらの ほうが 大きい？","アメリカの ほうが 大きいです。",,"Between the US and Japan, which is bigger?","The US is bigger.",,"~ is more (adj)"
"41. ～より","アメリカは 日本より 大きいです。",,,"The US is bigger than Japan.",,,"more than ~"
"42. ～の中で ～が一番","食べ物の 中で、パンが 一番 おいしいです。",,,"Out of all foods, bread is the most delicious.",,,"out of (category), ~ is the most / best"
"43. ～と思う","明日は 雨が ふる と思います。","青が 一番 きれいな 色だ と思う。",,"I think it will rain tomorrow.","I think blue is the prettiest color.",,"I think ~ (expressing uncertainty / opinions)"
"44. ～という noun","ファミリーマート という コンビニを 知っていますか。",,,"Have you heard of a convenience store called Family Mart?",,,"a noun called ~"
"45. ～と言う","タラ と言います。","ゆか先生は、明日は 休む と言いました。",,"My name is Tara.","Yuka-sensei said she won't be here tomorrow.",,"~ is called ~ / someone said ~"
"46. ～でしょう","明日 雨が ふる でしょう。","ここは 静か でしょう？",,"It will probably rain tomorrow.","It's quiet here, isn't it?",,"probably ~ / isn't it? (express uncertainty / seek confirmation)"
"47. ～ことがある","言い 間違う ことが あります。","京都に 行った ことが ある。",,"Sometimes I misspeak.","I have been to Kyoto.",,"~ happens sometimes / I have the experience of ~"
"48. ～ことはない","彼は 友達を うらぎる ことは ない。","心配する ことは ありません。",,"He would never betray his friends.","There's no need to worry.",,"~ doesn't happen / there's no need to ~"
"49. ～になる","大人に なりました。","背が もっと 高くなる と思います。",,"I became an adult.","I think you will get taller.",,"to become ~"
"50. ～つもり","大学に 行く つもりです。","早く 起きる つもりでしたが、寝坊 しました。",,"I'm planning to go to college.","I was planning to get up early, but I overslept.",,"planning to ~"
"51. ～すぎる","都会は うるさ すぎる。","クッキーを 食べすぎました。",,"The city is too noisy.","I ate too many cookies.",,"it's too ~"
"52. ～ほしい","お金が ほしいです。","子供は おもちゃを ほしがっている。",,"I want money.","The child seems like they want a toy.",,"I want ~"
"53. ～たい","日本語の森で 働きたいです。","おじいさんは 眠りたがって いる。",,"I want to work for Nihongonomori.","Grandpa seems like he wants to sleep.",,"I want to do ~"
"54. ～に行く・～に来る","日本に 働きに 来た。","友達の 家に 遊びに 行きます。",,"I came to Japan to work.","I go to my friend's house to hang out.",,"going to do ~ / coming to do ~ (goal of movement)"
"55. ～ませんか","テレビを 見ませんか。","ゲームを しない？",,"Do you want to watch TV?","Want to play a game?",,"Would you like to ~ ? (invitation)"
"56. ～ましょう","ゲームを しましょう。",,,"Let's play a game.",,,"Let's ~"
"57. ～ましょうか","カフェに 行きましょうか。","手伝い ましょうか。",,"Shall we go to a cafe?","Shall I help you?",,"Shall we ~ ? / Shall I ~ (do for you)?"
"58. ～をください","水を ください。",,,"Water, please.",,,"~ (object) please"
"59. verbて","家に 帰って、シャワーを 浴びました。","先生に 挨拶して、席に 座った。",,"I went home and took a shower.","I greeted the teacher then sat down.",,"do ~ and ~ / do ~ then ~"
"60. noun / adj て","学生で、日本に 住んで いる。","この 部屋は 広くて きれいです。",,"I'm a student and I live in Japan.","This room is spacious and clean.",,"is ~ and ~"
"61. ～てください","先生に 聞いて ください。",,,"Please ask the teacher.",,,"please do ~"
"62. ～ないでください","宿題を 忘れないで ください。",,,"Please don't forget your homework.",,,"please don't do ~"
"63. ～てもいい","帰っても いいですか。","帰っても いいですよ。",,"May I go home?","You may go home.",,"may I ~ (ask permission)"
"64. ～てはいけない","他の 人を 傷つけては いけません。",,,"You must not hurt other people.",,,"you must not ~ (prohibition)"
"65. ～ている","今、朝ごはんを 食べています。","彼は 結婚 していない。",,"I'm eating breakfast right now.","He is not married.",,"doing ~ (action in progress) / am ~ (state of being)"
"66. まだ～ていない","まだ 家から 出ていないです。",,,"I haven't left the house yet.",,,"haven't ~ yet"
"67. もう～た","彼は もう 帰りました。",,,"He already went home.",,,"already did ~"
"68. ～ていく・～てくる","これから 地球の温度が だんだん 高くなっていく。","日本に いる 外国人の 数が 増えてきました。",,"The Earth's temperature will become hotter and hotter.","The number of foreign residents in Japan has come to increase.",,"will become ~ / has come to be ~"
"69. ～じゃないですか","ジュホさんは 韓国人じゃないですか。","寒くない？",,"Isn't Juho Korean?","Aren't you cold?",,"isn't it ~ ? (seek confirmation)"
