"tags","kanji","readings","definition"
"1","出す","だ|す","to take out / to submit"
"1","大人","おとな","adult"
"1","見える","み|える","to be visible"
"1","出る","で|る","to go out / to exit"
"1","小学校","しょうがっこう","elementary school"
"1","天気","てんき","weather"
"1","白い","しろ|い","white"
"1","川","かわ","river"
"1","男の子","おとこ|の|こ","boy"
"1","口","くち","mouth"
"1","見つかる","み|つかる","to be found"
"1","学校","がっこう","school"
"1","大学","だいがく","university"
"1","音","おと","sound"
"1","見せる","み|せる","to show"
"1","左","ひだり","left"
"1","大きい","おお|きい","big"
"1","木","き","tree"
"1","山","やま","mountain"
"1","気","き","spirit / mood"
"1","女の子","おんな|の|こ","girl"
"1","本","ほん","book"
"1","右","みぎ","right"
"1","小さい","ちい|さい","small"
"1","見る","み|る","to see"
"1","雨","あめ","rain"
"1","休み","やす|み","rest / holiday"
"1","お金","お|かね","money"
"1","入れる","い|れる","to put in"
"1","犬","いぬ","dog"
"1","中学生","ちゅうがくせい","junior high student"
"1","生まれる","う|まれる","to be born"
"1","左右","さゆう","left and right"
"1","入学","にゅうがく","school entrance"
"1","男","おとこ","man"
"1","虫","むし","insect"
"1","土","つち","soil / earth"
"1","学生","がくせい","student"
"1","中学","ちゅうがく","junior high school"
"1","女","おんな","woman"
"1","空気","くうき","air / atmosphere"
"1","早い","はや|い","early / fast"
"1","見つける","み|つける","to find"
"1","町","まち","town"
"1","手","て","hand"
"1","人生","じんせい","life"
"1","花","はな","flower"
"1","上下","じょうげ","up and down"
"1","休む","やす|む","to rest"
"1","男子","だんし","boy / male"
"1","赤ちゃん","あか|ちゃん","baby"
"1","文学","ぶんがく","literature"
"1","中","なか","inside / middle"
"1","上手","じょうず","skillful"
"1","先生","せんせい","teacher"
"1","人口","じんこう","population"
"1","年","とし","year / age"
"1","大学生","だいがくせい","university student"
"1","車","くるま","car"
"1","赤い","あか|い","red"
"1","青","あお","blue"
"1","立つ","た|つ","to stand"
"1","文字","もじ","character / letter"
"1","足","あし","leg / foot"
"1","日本","にほん","Japan"
"1","下さる","くだ|さる","to give (polite)"
"1","上がる","あ|がる","to go up"
"1.1","花だん","か|だん","flower bed"
"1.1","花たば","はな|たば","bouquet"
"1.1","花びら","はな|びら","flower petal"
"1.1","木かげ","こ|かげ","shade of a tree"
"1.1","にわ木","にわ|き","garden tree"
"1.1","木目","もくめ","wood grain"
"1.1","ざっ草","ざっ|そう","weeds"
"1.1","草もち","くさ|もち","rice cake with mugwort"
"1.1","草はら","くさ|はら","grassy field"
"1.1","ちょ金","ちょ|きん","savings"
"1.1","金いろ","きん|いろ","gold color"
"1.1","ほう石","ほう|せき","gem / jewel"
"1.1","じ石","じ|しゃく","magnet"
"1.1","小石","こいし","pebble"
"1.1","赤土","あかつち","red clay / red soil"
"1.1","土足","どそく","with shoes on / muddy feet"
"1.1","ほら貝","ほら|がい","conch shell"
"1.1","まき貝","まき|がい","spiral shell"
"1.1","貝がら","かい|がら","shell"
"1.1","ふじ山","ふじ|さん","Mt. Fuji"
"1.1","山いも","やま|いも","yam"
"1.1","山みち","やま|みち","mountain path"
"1.1","虫かご","むし|かご","insect cage"
"1.1","こん虫","こん|ちゅう","insect"
"1.1","すず虫","すず|むし","bell cricket"
"1.1","川べり","かわ|べり","riverbank"
"1.1","川しも","かわ|しも","downstream"
"1.1","川かみ","かわ|かみ","upstream"
"1.1","日じ","にち|じ","date and time"
"1.1","犬ぞり","いぬ|ぞり","dog sled"
"1.1","白い犬","しろ|い|いぬ","white dog"
"1.1","名犬","めいけん","faithful dog / famous dog"
"1.1","山林","さんりん","mountain forest"
"1.1","まつ林","まつ|ばやし","pine forest"
"1.1","竹林","ちくりん","bamboo grove"
"1.1","まん月","まん|げつ","full moon"
"1.1","月見","つきみ","moon viewing"
"1.1","田うえ","た|うえ","rice planting"
"1.1","水田","すいでん","paddy field"
"1.1","田んぼ","た|んぼ","rice field"
"1.1","青森","あおもり","Aomori (place)"
"1.1","森林","しんりん","forest"
"1.1","森の中","もり|の|なか","in the forest"
"1.1","火のこ","ひ|のこ","sparks / fire sparks"
