level,kanji,furigana,definition,kana
1,"ゼロ","","zero","ぜろ"
1,"一","いち","one","いち"
1,二,に,two,に
1,三,さん,three,さん
1,四,よん,four,よん
1,五,ご,five,ご
1,六,ろく,six,ろく
1,七,しち,seven,しち
1,八,はち,eight,はち
1,九,きゅう,nine,きゅう
1,十,じゅう,ten,じゅう
1,千,せん,thousand,せん
1,"万","まん","ten thousand","まん"
1,一つ,ひと,one (object),ひとつ
1,二つ,ふた,two (objects),ふたつ
1,三つ,みっ,three (objects),みっつ
1,四つ,よっ,four (objects),よっつ
1,五つ,いつ,five (objects),いつつ
1,"六つ","むっ","six items","むっつ"
1,七つ,なな,seven (objects),ななつ
1,"八つ","やっ","eight items","やっつ"
1,"九つ","ここの","nine items","ここのつ"
1,一度,いちど,once,いちど
1,月曜日,げつようび,Monday,げつようび
1,火曜日,かようび,Tuesday,かようび
1,水曜日,すいようび,Wednesday,すいようび
1,木曜日,もくようび,Thursday,もくようび
1,金曜日,きんようび,Friday,きんようび
1,土曜日,どようび,Saturday,どようび
1,"日曜日","にちようび","Sunday","にちようび"
1,毎週,まいしゅう,every week,まいしゅう
1,先月,せんげつ,last month,せんげつ
1,今月,こんげつ,this month,こんげつ
1,来月,らいげつ,next month,らいげつ
1,毎月,まいつき,every month,まいつき
1,毎年,まいとし,every year,まいとし
1,時間,じかん,time,じかん
1,国,くに,country,くに
1,出す,だ,to take out / to submit,だす
1,外国,がいこく,foreign country,がいこく
1,大人,おとな,adult,おとな
1,見える,み,to be visible,みえる
1,出る,で,to go out / to exit,でる
1,から,,from / because,から
1,小学校,しょうがっこう,elementary school,しょうがっこう
1,後ろ,うし,behind / back,うしろ
1,天気,てんき,weather,てんき
1,白い,しろ,white,しろい
1,みんな,,everyone,みんな
1,言う,い,to say,いう
1,川,かわ,river,かわ
1,ちょっと,,a little,ちょっと
1,男の子,おとここ,boy,おとこのこ
1,自分,じぶん,myself,じぶん
1,会社,かいしゃ,company,かいしゃ
1,仕事,しごと,work / job,しごと
1,作る,つく,to make,つくる
1,少し,すこ,a little / few,すこし
1,口,くち,mouth,くち
1,いつ,,when,いつ
1,見つかる,み,to be found,みつかる
1,歌,うた,song,うた
1,広い,ひろ,wide / spacious,ひろい
1,学校,がっこう,school,がっこう
1,大学,だいがく,university,だいがく
1,思う,おも,to think,おもう
1,あまり,,not very,あまり
1,名前,なまえ,name,なまえ
1,社会,しゃかい,society,しゃかい
1,電話,でんわ,telephone,でんわ
1,お母さん,かあ,mother (polite),おかあさん
1,走る,はし,to run,はしる
1,言葉,ことば,word / language,ことば
1,この,,this,この
1,午後,ごご,afternoon / PM,ごご
1,音,おと,sound,おと
